time, resource data (Actor State [ActiveInput])*, resource workload, temporal data (Actor State [NumberOfEnabledTransitions])*, temporal workload, decision data (Actor State [TransitionDuration])*, decision workload, TaskStarts, TaskStops
149,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
150,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
151,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
152,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
153,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
154,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
155,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
156,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
157,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
158,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
159,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
160,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
161,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
162,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
163,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
164,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
165,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
166,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
167,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
168,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
169,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
170,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
171,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
172,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
173,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
174,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
175,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
176,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
177,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
178,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
179,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
180,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
181,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
182,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
183,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
184,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
185,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
186,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
187,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
188,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
189,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
190,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
191,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
