time, resource data (Actor State [ActiveInput])*, resource workload, temporal data (Actor State [NumberOfEnabledTransitions])*, temporal workload, decision data (Actor State [TransitionDuration])*, decision workload, TaskStarts, TaskStops
161,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
162,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
163,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
164,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
165,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
166,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
167,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
168,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
169,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
170,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
171,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
172,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
173,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
174,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
175,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
176,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
177,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
178,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
