time, Active Inputs (Actor State [ActiveInput])*, Total Active Inputs, Enabled Transitions (Actor State [NumberOfEnabledTransitions])*, Total Enabled Transitions, Transition Durations (Actor State [TransitionDuration])*, Total Transitions, TaskStarts, TaskStops, Op Tempo
28,(ParentSearch END_MM [false])(ParentSearch END_MM [MM_ACK_PS])(ParentSearch END_MM [false])(ParentSearch END_MM [false])(MissionManager RX_PS [PS_TARGET_DESCRIPTION_MM])(Operator IDLE [UAV_LANDED_OP])(Operator IDLE [MM_END_OP]),7,(ParentSearch END_MM [1])(MissionManager RX_PS [1]),2,(ParentSearch END_MM [10]),10,,([PS_STOP_TRANSMIT_TARGET_DESCRIPTION_PS]),0.0
29,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_LANDED_OP]),4,(MissionManager IDLE [2]),2,(ParentSearch IDLE [1])(MissionManager IDLE [1]),2,([MM_STOP_LISTEN_TO_PS_MM__MM_START_TRANSMIT_TARGET_DESCRIPTION_MM]),,0.0
30,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_LANDED_OP]),4,(MissionManager POKE_VO [1]),1,(MissionManager POKE_VO [1]),1,,,0.30000000000000004
31,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager POKE_VO [VO_ACK_MM])(Operator IDLE [UAV_LANDED_OP]),5,(MissionManager POKE_VO [2]),2,,0,,,0.0
32,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager TX_VO [VO_ACK_MM])(Operator IDLE [UAV_LANDED_OP]),5,(MissionManager TX_VO [1]),1,(MissionManager TX_VO [1]),1,,,0.0
40,,0,,0,,0,,,0.2
82,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager END_VO [VO_ACK_MM])(Operator IDLE [UAV_LANDED_OP]),5,(MissionManager END_VO [1]),1,(MissionManager END_VO [50]),50,,([MM_STOP_TRANSMIT_TARGET_DESCRIPTION_MM]),0.0
83,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_LANDED_OP]),4,(MissionManager IDLE [1]),1,(MissionManager IDLE [1]),1,,,0.0
84,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_LANDED_OP])(Operator IDLE [MM_POKE_OP]),5,(Operator IDLE [1]),1,(MissionManager POKE_OP [1]),1,,,0.0
85,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager POKE_OP [OP_ACK_MM])(Operator RX_MM [UAV_LANDED_OP])(Operator RX_MM [MM_POKE_OP]),6,(MissionManager POKE_OP [1]),1,(Operator RX_MM [1]),1,([OP_START_LISTEN_TO_MM_OP]),,0.0
86,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager TX_OP [OP_ACK_MM])(Operator RX_MM [UAV_LANDED_OP]),5,(MissionManager TX_OP [1]),1,(MissionManager TX_OP [1]),1,,,0.0
90,,0,,0,,0,,,0.5
